x,y,vx,vy,Paddle.y
1155,385,-15,-15,381
1140,370,-15,-15,419
1125,355,-15,-15,461
1110,340,-15,-15,489
1095,325,-15,-15,528
1080,310,-15,-15,562
1065,295,-15,-15,586
1050,280,-15,-15,601
1035,265,-15,-15,604
1020,250,-15,-15,606
1005,235,-15,-15,603
990,220,-15,-15,596
975,205,-15,-15,591
960,190,-15,-15,590
945,175,-15,-15,590
930,160,-15,-15,590
915,145,-15,-15,589
900,130,-15,-15,589
885,115,-15,-15,589
870,100,-15,-15,589
855,85,-15,-15,589
840,70,-15,-15,589
825,55,-15,-15,589
810,40,-15,-15,589
810,40,-15,15,589
795,55,-15,15,589
780,70,-15,15,589
765,85,-15,15,589
750,100,-15,15,589
735,115,-15,15,589
720,130,-15,15,589
705,145,-15,15,589
690,160,-15,15,589
675,175,-15,15,589
660,190,-15,15,589
645,205,-15,15,589
630,220,-15,15,589
615,235,-15,15,589
600,250,-15,15,589
585,265,-15,15,589
570,280,-15,15,589
555,295,-15,15,589
540,310,-15,15,589
525,325,-15,15,589
510,340,-15,15,589
495,355,-15,15,589
480,370,-15,15,589
465,385,-15,15,589
450,400,-15,15,589
435,415,-15,15,589
420,430,-15,15,589
405,445,-15,15,589
390,460,-15,15,589
375,475,-15,15,589
360,490,-15,15,589
345,505,-15,15,589
330,520,-15,15,589
315,535,-15,15,589
300,550,-15,15,589
285,565,-15,15,589
270,580,-15,15,589
255,595,-15,15,589
240,610,-15,15,589
225,625,-15,15,589
210,640,-15,15,589
195,655,-15,15,589
180,670,-15,15,589
165,685,-15,15,589
150,700,-15,15,589
135,715,-15,15,589
120,730,-15,15,589
105,745,-15,15,589
90,760,-15,15,589
90,760,-15,-15,589
75,745,-15,-15,589
60,730,-15,-15,589
45,715,-15,-15,589
30,700,-15,-15,589
30,700,15,-15,589
45,685,15,-15,589
60,670,15,-15,589
75,655,15,-15,589
90,640,15,-15,589
105,625,15,-15,589
120,610,15,-15,589
135,595,15,-15,589
150,580,15,-15,588
165,565,15,-15,588
180,550,15,-15,585
195,535,15,-15,583
210,520,15,-15,582
225,505,15,-15,580
240,490,15,-15,577
255,475,15,-15,575
270,460,15,-15,574
285,445,15,-15,573
300,430,15,-15,571
315,415,15,-15,570
330,400,15,-15,563
345,385,15,-15,554
360,370,15,-15,554
375,355,15,-15,549
390,340,15,-15,548
405,325,15,-15,545
420,310,15,-15,540
435,295,15,-15,536
450,280,15,-15,534
465,265,15,-15,533
480,250,15,-15,533
495,235,15,-15,533
510,220,15,-15,533
